Aparecio,Complexion,Estado,Mes,Descripcion,Edad,Estatura,Sexo
0,NO ESPECIFICADO,QUERETARO,1,0,50.00,,HOMBRE
0,Delgada,CHIHUAHUA,1,0,68.00,165,HOMBRE
0,Mediana,CHIHUAHUA,1,1,66.00,175,HOMBRE
0,Mediana,DURANGO,1,0,73.00,170,HOMBRE
0,Robusta,CHIHUAHUA,1,1,55.00,160,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,1,1,56.00,166,HOMBRE
0,Delgada,CHIHUAHUA,1,0,56.00,170,HOMBRE
0,Mediana,CHIHUAHUA,1,0,68.00,160,HOMBRE
0,Mediana,CHIHUAHUA,1,1,36.00,160,HOMBRE
0,Mediana,CHIHUAHUA,1,1,33.00,155,HOMBRE
0,Mediana,CHIHUAHUA,1,1,52.00,,HOMBRE
0,NO ESPECIFICADO,MICHOACAN,1,1,53.00,172,HOMBRE
0,Delgada,CHIHUAHUA,1,1,44.00,185,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,36.00,,HOMBRE
0,Delgada,JALISCO,1,1,21.00,165,HOMBRE
0,Robusta,HIDALGO,1,0,17.00,120,MUJER
0,NO ESPECIFICADO,CHIHUAHUA,1,0,50.00,,HOMBRE
0,Robusta,MICHOACAN,1,0,31.00,170,MUJER
0,Delgada,QUERETARO,1,0,35.00,143,MUJER
0,Robusta,GUERRERO,1,0,37.00,160,HOMBRE
0,NO ESPECIFICADO,MICHOACAN,1,1,26.00,160,MUJER
0,Robusta,MICHOACAN,1,1,21.00,155,MUJER
0,Delgada,JALISCO,1,0,71.00,160,HOMBRE
0,Robusta,NO ESPECIFICADO,1,1,44.00,180,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,31.00,,HOMBRE
0,Delgada,TAMAULIPAS,1,0,50.00,165,MUJER
0,Delgada,CHIHUAHUA,1,1,37.00,175,HOMBRE
0,Delgada,CHIHUAHUA,1,0,32.00,175,HOMBRE
0,Delgada,MICHOACAN,1,0,40.00,165,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,23.00,170,HOMBRE
0,Delgada,JALISCO,1,0,64.00,168,HOMBRE
0,Delgada,JALISCO,1,0,30.00,165,HOMBRE
0,Delgada,TAMAULIPAS,1,0,23.00,170,HOMBRE
0,Robusta,JALISCO,1,1,31.00,175,HOMBRE
0,NO ESPECIFICADO,COAHUILA DE ZARAGOZA,1,1,66.00,,HOMBRE
0,Delgada,JALISCO,1,1,19.00,160,MUJER
0,Robusta,JALISCO,1,1,51.00,180,HOMBRE
0,Delgada,COLIMA,1,1,38.00,,MUJER
0,Robusta,TAMAULIPAS,1,0,26.00,,HOMBRE
0,NO ESPECIFICADO,DURANGO,1,0,26.00,,HOMBRE
0,Delgada,CHIHUAHUA,1,0,48.00,155,HOMBRE
0,Delgada,CHIHUAHUA,1,1,40.00,170,HOMBRE
0,Delgada,JALISCO,1,0,37.00,167,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,1,0,,,HOMBRE
0,NO ESPECIFICADO,AGUASCALIENTES,1,0,19.00,,MUJER
0,Delgada,TAMAULIPAS,1,1,24.00,170,HOMBRE
0,Mediana,TAMAULIPAS,1,0,23.00,182,HOMBRE
0,Robusta,GUERRERO,1,0,33.00,168,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,35.00,,HOMBRE
0,NO ESPECIFICADO,JALISCO,1,0,17.00,165,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,58.00,,HOMBRE
0,NO ESPECIFICADO,CIUDAD DE MEXICO,1,0,13.00,,MUJER
0,NO ESPECIFICADO,TAMAULIPAS,1,1,20.00,155,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,1,0,,,MUJER
0,Delgada,JALISCO,1,1,33.00,170,HOMBRE
0,Delgada,TAMAULIPAS,1,1,26.00,185,HOMBRE
0,Robusta,TAMAULIPAS,1,0,36.00,160,MUJER
0,NO ESPECIFICADO,GUANAJUATO,1,0,78.00,,HOMBRE
0,Delgada,TAMAULIPAS,1,1,24.00,160,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,16.00,,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,21.00,,HOMBRE
0,Robusta,ESTADO DE MEXICO,1,0,24.00,160,MUJER
0,Robusta,ESTADO DE MEXICO,1,0,67.00,155,HOMBRE
0,Mediana,JALISCO,1,0,55.00,160,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,1,0,27.00,170,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,26.00,185,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,53.00,180,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,1,16.00,170,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,0,27.00,,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,1,29.00,,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,0,,,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,0,15.00,,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,27.00,170,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,23.00,,HOMBRE
0,NO ESPECIFICADO,SINALOA,1,0,,,HOMBRE
0,Robusta,TAMAULIPAS,1,0,,170,HOMBRE
0,Delgada,TAMAULIPAS,1,0,,170,HOMBRE
0,NO ESPECIFICADO,JALISCO,1,1,25.00,162,MUJER
0,Delgada,BAJA CALIFORNIA,1,0,52.00,164,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,18.00,180,HOMBRE
0,Mediana,COAHUILA DE ZARAGOZA,1,1,29.00,,HOMBRE
0,NO ESPECIFICADO,SINALOA,1,0,52.00,,HOMBRE
0,NO ESPECIFICADO,SINALOA,1,0,30.00,,HOMBRE
0,Mediana,SINALOA,1,1,22.00,168,MUJER
0,Robusta,COLIMA,1,1,34.00,,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,31.00,,HOMBRE
0,Mediana,TAMAULIPAS,1,0,,,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,22.00,175,HOMBRE
0,NO ESPECIFICADO,SINALOA,1,0,26.00,,HOMBRE
0,NO ESPECIFICADO,MICHOACAN,1,0,16.00,,MUJER
1,Delgada,COAHUILA DE ZARAGOZA,1,1,34.00,175,HOMBRE
0,Delgada,CIUDAD DE MEXICO,1,1,53.00,170,HOMBRE
0,Delgada,MICHOACAN,1,0,54.00,160,HOMBRE
0,Robusta,JALISCO,1,1,34.00,175,HOMBRE
0,Mediana,JALISCO,1,0,23.00,155,MUJER
0,Delgada,ESTADO DE MEXICO,1,0,70.00,160,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,41.00,,HOMBRE
0,Robusta,QUINTANA ROO,1,1,30.00,167,MUJER
0,Delgada,TAMAULIPAS,1,1,25.00,174,HOMBRE
0,NO ESPECIFICADO,SONORA,1,1,39.00,,MUJER
0,NO ESPECIFICADO,SONORA,1,1,20.00,,HOMBRE
0,Robusta,CHIHUAHUA,1,0,74.00,170,MUJER
0,NO ESPECIFICADO,COAHUILA DE ZARAGOZA,1,0,17.00,,MUJER
0,Delgada,TAMAULIPAS,1,1,20.00,170,MUJER
0,Delgada,AGUASCALIENTES,1,1,,175,HOMBRE
0,Robusta,TAMAULIPAS,1,0,62.00,,HOMBRE
0,Delgada,TAMAULIPAS,1,1,18.00,185,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,,,HOMBRE
0,Delgada,ZACATECAS,1,1,22.00,165,MUJER
0,NO ESPECIFICADO,TAMAULIPAS,1,0,,,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,1,0,,,HOMBRE
0,NO ESPECIFICADO,SONORA,1,1,28.00,,MUJER
0,NO ESPECIFICADO,SONORA,1,1,29.00,,HOMBRE
0,Robusta,ESTADO DE MEXICO,1,1,51.00,178,HOMBRE
0,Mediana,CHIHUAHUA,1,1,47.00,154,HOMBRE
0,Mediana,JALISCO,1,1,40.00,180,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,1,0,25.00,170,HOMBRE
0,Delgada,SONORA,1,0,25.00,164,MUJER
0,NO ESPECIFICADO,GUANAJUATO,1,0,25.00,170,HOMBRE
0,Mediana,ESTADO DE MEXICO,1,1,52.00,165,HOMBRE
0,Mediana,JALISCO,1,1,26.00,190,HOMBRE
0,Delgada,CHIHUAHUA,1,0,36.00,168,HOMBRE
0,Delgada,QUERETARO,1,1,29.00,163,HOMBRE
0,Delgada,QUERETARO,1,1,24.00,,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,24.00,,MUJER
0,Mediana,ESTADO DE MEXICO,1,0,33.00,174,HOMBRE
0,Robusta,CHIHUAHUA,1,0,22.00,176,HOMBRE
0,Delgada,ESTADO DE MEXICO,1,0,64.00,160,HOMBRE
0,Robusta,COAHUILA DE ZARAGOZA,1,1,26.00,180,HOMBRE
0,Delgada,BAJA CALIFORNIA,1,1,40.00,177,HOMBRE
0,Delgada,SONORA,1,0,27.00,160,HOMBRE
0,Robusta,SONORA,1,1,26.00,180,HOMBRE
0,Delgada,BAJA CALIFORNIA SUR,1,0,35.00,185,HOMBRE
0,Delgada,PUEBLA,1,1,14.00,160,MUJER
0,Robusta,ESTADO DE MEXICO,1,0,13.00,140,MUJER
0,Delgada,ESTADO DE MEXICO,1,0,23.00,172,HOMBRE
0,Delgada,JALISCO,1,1,27.00,180,HOMBRE
0,Delgada,COLIMA,1,1,24.00,,HOMBRE
0,Mediana,ESTADO DE MEXICO,1,0,54.00,165,MUJER
0,Mediana,MORELOS,1,1,37.00,,MUJER
0,Delgada,SINALOA,1,1,13.00,160,HOMBRE
0,Mediana,DURANGO,2,1,42.00,168,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,2,1,75.00,,HOMBRE
0,Delgada,JALISCO,1,1,32.00,180,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,2,0,30.00,176,HOMBRE
