Aparecio,Complexion,Estado,Mes,Descripcion,Edad,Estatura,Sexo
0,NO ESPECIFICADO,QUERETARO,1,0,50,NO ESPECIFICADO,HOMBRE
0,Delgada,CHIHUAHUA,1,0,68,1.65,HOMBRE
0,Mediana,CHIHUAHUA,1,1,66,1.75,HOMBRE
0,Mediana,DURANGO,1,0,73,1.7,HOMBRE
0,Robusta,CHIHUAHUA,1,1,55,1.6,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,1,1,56,1.66,HOMBRE
0,Delgada,CHIHUAHUA,1,0,56,1.7,HOMBRE
0,Mediana,CHIHUAHUA,1,0,68,1.6,HOMBRE
0,Mediana,CHIHUAHUA,1,1,36,1.6,HOMBRE
0,Mediana,CHIHUAHUA,1,1,33,1.55,HOMBRE
0,Mediana,CHIHUAHUA,1,1,52,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,MICHOACAN,1,1,53,1.72,HOMBRE
0,Delgada,CHIHUAHUA,1,1,44,1.85,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,36,NO ESPECIFICADO,HOMBRE
0,Delgada,JALISCO,1,1,21,1.65,HOMBRE
0,Robusta,HIDALGO,1,0,17,1.2,MUJER
0,NO ESPECIFICADO,CHIHUAHUA,1,0,50,NO ESPECIFICADO,HOMBRE
0,Robusta,MICHOACAN,1,0,31,1.7,MUJER
0,Delgada,QUERETARO,1,0,35,1.43,MUJER
0,Robusta,GUERRERO,1,0,37,1.6,HOMBRE
0,NO ESPECIFICADO,MICHOACAN,1,1,26,1.6,MUJER
0,Robusta,MICHOACAN,1,1,21,1.55,MUJER
0,Delgada,JALISCO,1,0,71,1.6,HOMBRE
0,Robusta,NO ESPECIFICADO,1,1,44,1.8,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,31,NO ESPECIFICADO,HOMBRE
0,Delgada,TAMAULIPAS,1,0,50,1.65,MUJER
0,Delgada,CHIHUAHUA,1,1,37,1.75,HOMBRE
0,Delgada,CHIHUAHUA,1,0,32,1.75,HOMBRE
0,Delgada,MICHOACAN,1,0,40,1.65,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,23,1.7,HOMBRE
0,Delgada,JALISCO,1,0,64,1.68,HOMBRE
0,Delgada,JALISCO,1,0,30,1.65,HOMBRE
0,Delgada,TAMAULIPAS,1,0,23,1.7,HOMBRE
0,Robusta,JALISCO,1,1,31,1.75,HOMBRE
0,NO ESPECIFICADO,COAHUILA DE ZARAGOZA,1,1,66,NO ESPECIFICADO,HOMBRE
0,Delgada,JALISCO,1,1,19,1.6,MUJER
0,Robusta,JALISCO,1,1,51,1.8,HOMBRE
0,Delgada,COLIMA,1,1,38,NO ESPECIFICADO,MUJER
0,Robusta,TAMAULIPAS,1,0,26,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,DURANGO,1,0,26,NO ESPECIFICADO,HOMBRE
0,Delgada,CHIHUAHUA,1,0,48,1.55,HOMBRE
0,Delgada,CHIHUAHUA,1,1,40,1.7,HOMBRE
0,Delgada,JALISCO,1,0,37,1.67,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,1,0,NO ESPECIFICADO,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,AGUASCALIENTES,1,0,19,NO ESPECIFICADO,MUJER
0,Delgada,TAMAULIPAS,1,1,24,1.7,HOMBRE
0,Mediana,TAMAULIPAS,1,0,23,1.82,HOMBRE
0,Robusta,GUERRERO,1,0,33,1.68,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,35,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,JALISCO,1,0,17,1.65,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,58,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,CIUDAD DE MEXICO,1,0,13,NO ESPECIFICADO,MUJER
0,NO ESPECIFICADO,TAMAULIPAS,1,1,20,1.55,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,1,0,NO ESPECIFICADO,NO ESPECIFICADO,MUJER
0,Delgada,JALISCO,1,1,33,1.7,HOMBRE
0,Delgada,TAMAULIPAS,1,1,26,1.85,HOMBRE
0,Robusta,TAMAULIPAS,1,0,36,1.6,MUJER
0,NO ESPECIFICADO,GUANAJUATO,1,0,78,NO ESPECIFICADO,HOMBRE
0,Delgada,TAMAULIPAS,1,1,24,1.6,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,16,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,21,NO ESPECIFICADO,HOMBRE
0,Robusta,ESTADO DE MEXICO,1,0,24,1.6,MUJER
0,Robusta,ESTADO DE MEXICO,1,0,67,1.55,HOMBRE
0,Mediana,JALISCO,1,0,55,1.6,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,1,0,27,1.7,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,26,1.85,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,53,1.8,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,1,16,1.7,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,0,27,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,1,29,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,0,NO ESPECIFICADO,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,VERACRUZ,1,0,15,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,1,27,1.7,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,23,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,SINALOA,1,0,NO ESPECIFICADO,NO ESPECIFICADO,HOMBRE
0,Robusta,TAMAULIPAS,1,0,NO ESPECIFICADO,1.7,HOMBRE
0,Delgada,TAMAULIPAS,1,0,NO ESPECIFICADO,1.7,HOMBRE
0,NO ESPECIFICADO,JALISCO,1,1,25,1.62,MUJER
0,Delgada,BAJA CALIFORNIA,1,0,52,1.64,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,18,1.8,HOMBRE
0,Mediana,COAHUILA DE ZARAGOZA,1,1,29,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,SINALOA,1,0,52,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,SINALOA,1,0,30,NO ESPECIFICADO,HOMBRE
0,Mediana,SINALOA,1,1,22,1.68,MUJER
0,Robusta,COLIMA,1,1,34,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,31,NO ESPECIFICADO,HOMBRE
0,Mediana,TAMAULIPAS,1,0,NO ESPECIFICADO,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,22,1.75,HOMBRE
0,NO ESPECIFICADO,SINALOA,1,0,26,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,MICHOACAN,1,0,16,NO ESPECIFICADO,MUJER
1,Delgada,COAHUILA DE ZARAGOZA,1,1,34,1.75,HOMBRE
0,Delgada,CIUDAD DE MEXICO,1,1,53,1.7,HOMBRE
0,Delgada,MICHOACAN,1,0,54,1.6,HOMBRE
0,Robusta,JALISCO,1,1,34,1.75,HOMBRE
0,Mediana,JALISCO,1,0,23,1.55,MUJER
0,Delgada,ESTADO DE MEXICO,1,0,70,1.6,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,1,0,41,NO ESPECIFICADO,HOMBRE
0,Robusta,QUINTANA ROO,1,1,30,1.67,MUJER
0,Delgada,TAMAULIPAS,1,1,25,1.74,HOMBRE
0,NO ESPECIFICADO,SONORA,1,1,39,NO ESPECIFICADO,MUJER
0,NO ESPECIFICADO,SONORA,1,1,20,NO ESPECIFICADO,HOMBRE
0,Robusta,CHIHUAHUA,1,0,74,1.7,MUJER
0,NO ESPECIFICADO,COAHUILA DE ZARAGOZA,1,0,17,NO ESPECIFICADO,MUJER
0,Delgada,TAMAULIPAS,1,1,20,1.7,MUJER
0,Delgada,AGUASCALIENTES,1,1,NO ESPECIFICADO,1.75,HOMBRE
0,Robusta,TAMAULIPAS,1,0,62,NO ESPECIFICADO,HOMBRE
0,Delgada,TAMAULIPAS,1,1,18,1.85,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,NO ESPECIFICADO,NO ESPECIFICADO,HOMBRE
0,Delgada,ZACATECAS,1,1,22,1.65,MUJER
0,NO ESPECIFICADO,TAMAULIPAS,1,0,NO ESPECIFICADO,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,1,0,NO ESPECIFICADO,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,SONORA,1,1,28,NO ESPECIFICADO,MUJER
0,NO ESPECIFICADO,SONORA,1,1,29,NO ESPECIFICADO,HOMBRE
0,Robusta,ESTADO DE MEXICO,1,1,51,1.78,HOMBRE
0,Mediana,CHIHUAHUA,1,1,47,1.54,HOMBRE
0,Mediana,JALISCO,1,1,40,1.8,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,1,0,25,1.7,HOMBRE
0,Delgada,SONORA,1,0,25,1.64,MUJER
0,NO ESPECIFICADO,GUANAJUATO,1,0,25,1.7,HOMBRE
0,Mediana,ESTADO DE MEXICO,1,1,52,1.65,HOMBRE
0,Mediana,JALISCO,1,1,26,1.9,HOMBRE
0,Delgada,CHIHUAHUA,1,0,36,1.68,HOMBRE
0,Delgada,QUERETARO,1,1,29,1.63,HOMBRE
0,Delgada,QUERETARO,1,1,24,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,1,0,24,NO ESPECIFICADO,MUJER
0,Mediana,ESTADO DE MEXICO,1,0,33,1.74,HOMBRE
0,Robusta,CHIHUAHUA,1,0,22,1.76,HOMBRE
0,Delgada,ESTADO DE MEXICO,1,0,64,1.6,HOMBRE
0,Robusta,COAHUILA DE ZARAGOZA,1,1,26,1.8,HOMBRE
0,Delgada,BAJA CALIFORNIA,1,1,40,1.77,HOMBRE
0,Delgada,SONORA,1,0,27,1.6,HOMBRE
0,Robusta,SONORA,1,1,26,1.8,HOMBRE
0,Delgada,BAJA CALIFORNIA SUR,1,0,35,1.85,HOMBRE
0,Delgada,PUEBLA,1,1,14,1.6,MUJER
0,Robusta,ESTADO DE MEXICO,1,0,13,1.4,MUJER
0,Delgada,ESTADO DE MEXICO,1,0,23,1.72,HOMBRE
0,Delgada,JALISCO,1,1,27,1.8,HOMBRE
0,Delgada,COLIMA,1,1,24,NO ESPECIFICADO,HOMBRE
0,Mediana,ESTADO DE MEXICO,1,0,54,1.65,MUJER
0,Mediana,MORELOS,1,1,37,NO ESPECIFICADO,MUJER
0,Delgada,SINALOA,1,1,13,1.6,HOMBRE
0,Mediana,DURANGO,2,1,42,1.68,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,2,1,75,NO ESPECIFICADO,HOMBRE
0,Delgada,JALISCO,1,1,32,1.8,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,2,0,30,1.76,HOMBRE
0,Mediana,CHIHUAHUA,2,0,28,1.7,HOMBRE
0,Mediana,CHIHUAHUA,2,1,21,1.66,HOMBRE
0,Mediana,CHIHUAHUA,2,0,56,1.7,HOMBRE
0,Delgada,PUEBLA,2,0,32,1.55,HOMBRE
0,Mediana,COAHUILA DE ZARAGOZA,2,1,29,1.65,HOMBRE
0,NO ESPECIFICADO,CHIHUAHUA,2,0,NO ESPECIFICADO,1.72,HOMBRE
0,Delgada,OAXACA,2,1,20,1.58,MUJER
0,Mediana,CHIHUAHUA,2,0,39,1.75,HOMBRE
0,Mediana,TAMAULIPAS,2,0,NO ESPECIFICADO,NO ESPECIFICADO,MUJER
0,Delgada,CHIHUAHUA,2,0,32,1.6,HOMBRE
0,Delgada,JALISCO,2,1,25,1.65,HOMBRE
0,Delgada,ESTADO DE MEXICO,2,0,36,1.65,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,2,0,22,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,2,0,26,NO ESPECIFICADO,HOMBRE
0,Robusta,TAMAULIPAS,2,0,24,NO ESPECIFICADO,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,2,0,68,1.75,HOMBRE
0,Robusta,COAHUILA DE ZARAGOZA,2,1,30,1.65,HOMBRE
0,Delgada,COAHUILA DE ZARAGOZA,2,1,29,1.7,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,2,0,16,NO ESPECIFICADO,HOMBRE
0,Delgada,CIUDAD DE MEXICO,2,0,32,1.7,HOMBRE
0,Delgada,MICHOACAN,2,0,18,1.68,HOMBRE
0,Robusta,SINALOA,2,0,22,1.7,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,2,0,30,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,2,0,29,NO ESPECIFICADO,MUJER
0,Delgada,TAMAULIPAS,2,1,72,1.6,HOMBRE
0,Robusta,TAMAULIPAS,2,1,30,1.78,HOMBRE
0,Delgada,JALISCO,2,1,18,1.7,HOMBRE
0,NO ESPECIFICADO,AGUASCALIENTES,2,0,15,NO ESPECIFICADO,MUJER
0,NO ESPECIFICADO,NUEVO LEON,2,0,21,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,COAHUILA DE ZARAGOZA,2,1,29,NO ESPECIFICADO,HOMBRE
0,Delgada,CHIHUAHUA,2,1,24,1.75,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,2,1,25,1.6,HOMBRE
0,Mediana,TAMAULIPAS,2,1,24,1.6,MUJER
0,NO ESPECIFICADO,TAMAULIPAS,2,1,40,NO ESPECIFICADO,MUJER
0,Delgada,VERACRUZ,2,1,32,1.6,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,2,1,NO ESPECIFICADO,1.6,HOMBRE
0,NO ESPECIFICADO,AGUASCALIENTES,2,0,27,NO ESPECIFICADO,HOMBRE
0,Delgada,BAJA CALIFORNIA,2,1,45,1.7,HOMBRE
0,Mediana,CHIHUAHUA,2,1,24,1.8,HOMBRE
0,Delgada,DURANGO,2,1,15,1.75,HOMBRE
0,NO ESPECIFICADO,SINALOA,2,1,37,1.6,HOMBRE
0,NO ESPECIFICADO,SINALOA,2,0,NO ESPECIFICADO,NO ESPECIFICADO,HOMBRE
0,Robusta,GUERRERO,2,1,35,1.7,HOMBRE
0,Delgada,TAMAULIPAS,2,0,NO ESPECIFICADO,1.92,HOMBRE
0,NO ESPECIFICADO,TAMAULIPAS,2,0,31,NO ESPECIFICADO,MUJER
0,Delgada,TAMAULIPAS,2,1,46,1.7,MUJER
0,Delgada,QUERETARO,2,0,36,1.8,HOMBRE
0,Delgada,ZACATECAS,2,1,30,1.83,HOMBRE
0,NO ESPECIFICADO,SONORA,2,1,32,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,COAHUILA DE ZARAGOZA,2,0,30,NO ESPECIFICADO,MUJER
0,Robusta,COAHUILA DE ZARAGOZA,2,1,50,1.78,HOMBRE
0,Delgada,JALISCO,2,0,55,1.75,HOMBRE
0,NO ESPECIFICADO,ESTADO DE MEXICO,2,0,43,NO ESPECIFICADO,MUJER
0,NO ESPECIFICADO,CAMPECHE,2,0,13,NO ESPECIFICADO,MUJER
0,NO ESPECIFICADO,SONORA,2,1,58,NO ESPECIFICADO,HOMBRE
0,NO ESPECIFICADO,SONORA,2,0,16,NO ESPECIFICADO,MUJER
0,NO ESPECIFICADO,SONORA,2,0,75,NO ESPECIFICADO,MUJER
0,NO ESPECIFICADO,SONORA,2,1,19,NO ESPECIFICADO,HOMBRE
0,Robusta,TAMAULIPAS,2,0,33,1.65,HOMBRE
0,Delgada,CHIHUAHUA,2,0,13,1.55,HOMBRE
0,Robusta,AGUASCALIENTES,2,1,16,1.6,MUJER
0,Delgada,GUERRERO,2,1,22,1.74,HOMBRE
1,Robusta,ZACATECAS,2,1,26,1.65,HOMBRE
0,NO ESPECIFICADO,NUEVO LEON,2,0,17,NO ESPECIFICADO,HOMBRE
0,Delgada,JALISCO,2,0,32,1.92,HOMBRE
0,Mediana,JALISCO,2,1,24,1.8,HOMBRE
0,Mediana,SONORA,2,1,43,1.75,HOMBRE
