consecutivo,folioviv,ic_rezedu,ic_asalud,ic_segsoc,trab,jedad,muj15a49,exc_lengua,depecon,dormi,num_ind,hacina,ing_mon,ing_trab,ing_negp,ing_rent,ing_tran,rururb,intt,intpc,teneciareg,locurbana,paredsol,techosol,lningtot
1,011001,1,0,0,1,48,1,0,0,3,4,1.33,5736.68,4707.33,1015.40,0.00,0.00,0,6733.94,1683.49,1,1,1.00,1.00,8.81
2,011002,5,2,2,2,41,0,0,3,3,7,2.33,8210.85,8210.85,0.00,0.00,0.00,0,10205.37,1457.91,1,1,1.00,1.00,9.23
3,011003,1,0,9,1,49,2,0,1,3,9,3.00,11253.67,6008.00,5004.14,0.00,241.53,0,11835.38,1315.04,0,1,1.00,1.00,9.38
4,011004,0,1,0,1,52,0,0,1,5,4,0.80,8010.67,2002.67,0.00,0.00,6008.00,0,9506.56,2376.64,1,1,1.00,1.00,9.16
5,011005,2,0,0,1,38,1,0,1,2,6,3.00,5165.44,4005.34,1018.33,0.00,138.98,0,6162.70,1027.12,1,1,1.00,1.00,8.73
6,011006,0,0,1,1,44,0,0,0,2,1,0.50,4279.89,4272.91,0.00,0.00,0.00,0,5077.43,5077.43,1,1,1.00,1.00,8.53
7,011007,0,0,1,3,52,1,0,1,2,4,2.00,4091.18,4051.13,0.00,0.00,40.05,0,5287.90,1321.97,1,1,1.00,1.00,8.57
8,011009,0,0,0,1,46,0,0,0,2,1,0.50,13518.01,13518.01,0.00,0.00,0.00,0,12268.47,12268.47,0,1,1.00,1.00,9.41
9,011010,0,0,0,1,48,1,0,1,2,2,1.00,6063.82,6008.00,0.00,0.00,0.00,0,6753.19,3376.60,0,1,1.00,1.00,8.82
10,011011,0,0,2,2,35,2,0,2,3,5,1.67,6408.54,6208.27,200.27,0.00,0.00,0,9400.32,1880.06,1,1,1.00,1.00,9.15
11,011013,0,0,1,3,62,1,0,1,3,6,2.00,29216.68,29172.68,0.00,30.04,0.00,0,30546.14,5091.02,1,1,1.00,1.00,10.33
12,011014,1,1,2,1,36,4,0,1,3,7,2.33,14409.69,7212.66,0.00,700.93,6496.10,0,18049.69,2578.53,0,1,1.00,1.00,9.80
13,011015,0,0,0,1,50,0,0,4,3,5,1.67,9519.25,9212.27,0.00,0.00,0.00,0,11513.77,2302.75,1,1,1.00,1.00,9.35
14,011016,0,0,1,1,26,1,0,1,1,2,2.00,5322.33,4387.75,250.55,0.00,684.03,0,5322.33,2661.17,1,1,1.00,1.00,8.58
15,011017,0,1,1,2,47,0,0,1,3,5,1.67,13669.79,13542.53,40.20,0.00,3.34,0,16673.64,3334.73,1,1,1.00,1.00,9.72
16,011018,2,0,5,2,26,2,0,2,2,5,2.50,5461.86,4506.84,297.94,0.00,657.08,0,7052.87,1410.57,1,1,1.00,1.00,8.86
17,011019,0,1,5,1,55,1,0,1,3,5,1.67,9476.93,0.00,8876.13,0.00,600.80,0,9779.44,1955.89,1,1,1.00,1.00,9.19
18,011020,1,3,3,1,40,0,0,3,3,4,1.33,4540.01,2803.74,0.00,0.00,1736.27,0,5736.72,1434.18,1,1,1.00,1.00,8.65
19,011021,0,0,0,1,24,1,0,2,2,3,1.50,5320.77,5308.21,0.00,0.00,0.00,1,7281.78,2427.26,1,0,1.00,1.00,8.89
20,011022,3,3,3,2,62,0,0,1,3,3,1.00,3809.95,2403.20,1406.75,0.00,0.00,1,4308.58,1436.19,1,0,0.00,1.00,8.37
21,011023,1,0,0,2,43,1,0,0,2,4,2.00,6574.62,5110.83,0.00,0.00,1451.23,1,7372.43,1843.11,1,0,0.00,1.00,8.91
22,011024,3,1,3,1,68,0,0,1,2,3,1.50,1273.53,899.82,0.00,0.00,373.70,1,1772.16,590.72,1,0,0.00,1.00,7.48
23,011025,4,0,7,3,35,0,0,0,2,7,3.50,2865.36,2071.57,0.00,0.00,793.78,1,3064.81,437.83,1,0,0.00,0.00,8.03
24,011026,0,2,2,1,43,0,0,0,2,2,1.00,2807.36,0.00,1305.36,1502.00,0.00,1,3804.62,1902.31,1,0,1.00,1.00,8.24
25,011027,0,0,2,1,43,0,0,0,2,2,1.00,3075.05,1069.52,257.65,0.00,1747.89,1,3274.50,1637.25,1,0,1.00,1.00,8.09
26,011029,1,0,1,2,40,1,0,1,2,7,3.50,4836.56,4540.73,0.00,0.00,267.93,1,5833.82,1458.46,1,0,1.00,1.00,8.67
