pais,poblac,densidad,urbana,relig,espvidaf,espvidam,alfabet,inc_pob,mortinf,pib_cap,region,calorÌas,tasa_nat,tasa_mor,log_pib,nac_def,fertilid,log_pob,cregrano
Acerbajan,7400,86,54,Musulm,75,67,98,1.4,35,3000,5,-10,23,7,3.477121255,3.285714286,2.8,3.86923172,18
Afganistan,20500,25,18,Musulm,44,45,29,2.8,168,205,3,-10,53,22,2.311753861,2.409090909,6.9,4.311753861,12
Alemania,81200,227,85,Protes,79,73,99,0.36,6.5,17539,1,3443,11,11,4.244004828,1,1.47,4.909556029,34
Arabia Saudi,18000,7.7,77,Musulm,70,66,62,3.2,52,6651,5,2874,38,6,3.822886948,6.333333333,6.67,4.255272505,1
Argentina,33900,12,86,Catol,75,68,95,1.3,25.6,3408,6,3113,20,9,3.532499586,2.222222222,2.8,4.530199698,9
Armenia,3700,126,68,Ortodo,75,68,98,1.4,27,5000,5,-10,23,6,3.698970004,3.833333333,3.19,3.568201724,17
Australia,17800,2.3,85,Protes,80,74,100,1.38,7.3,16848,1,3216,15,8,4.226548354,1.875,1.9,4.250420002,6
Austria,8000,94,58,Catol,79,73,99,0.2,6.7,18396,1,3495,12,11,4.264723401,1.090909091,1.5,3.903089987,17
Bahrein,600,828,83,Musulm,74,71,77,2.4,25,7875,5,-10,29,4,3.896250562,7.25,3.96,2.77815125,2
Bangladesh,125000,800,16,Musulm,53,53,35,2.4,106,202,3,2021,35,11,2.305351369,3.181818182,4.7,5.096910013,67
Barbados,256,605,45,Protes,78,73,99,0.21,20.3,6950,6,-10,16,8.4,3.841984805,1.904761905,1.78,2.408239965,77
Belgica,10100,329,96,Catol,79,73,99,0.2,7.2,17912,1,-10,12,11,4.253144081,1.090909091,1.7,4.004321374,24
Bielorusia,10300,50,65,Ortodo,76,66,99,0.32,19,6500,2,-10,13,11,3.812913357,1.181818182,1.88,4.012837225,29
Bolivia,7900,6.9,51,Catol,64,59,78,2.7,75,730,6,1916,34,9,2.86332286,3.777777778,4.21,3.897627091,3
Bosnia,4600,87,36,Musulm,78,72,86,0.7,12.7,3098,2,-10,14,6.39,3.491081413,2.190923318,-10,3.662757832,20
Botswana,1359,2.4,25,Tribal,66,60,72,2.7,39.3,2677,4,2375,32,8,3.427648371,4,5.1,3.133219457,2
Brasil,156600,18,75,Catol,67,57,81,1.28,66,2354,6,2751,21,9,3.371806459,2.333333333,2.7,5.194791758,7
Bulgaria,8900,79,68,Ortodo,75,69,93,-0.2,12,3831,2,-10,13,12,3.583312152,1.083333333,1.8,3.949390007,34
Burkina Faso,10000,36,15,Animis,50,47,18,2.81,118,357,4,2288,47,18,2.552668216,2.611111111,6.94,4,10
Burundi,6000,216,5,CatÛli,50,46,50,2.26,105,208,4,1932,44,21,2.318063335,2.095238095,6.8,3.77815125,43
Camboya,10000,55,12,Budist,52,50,35,2.9,112,260,3,2166,45,16,2.414973348,2.8125,5.81,4,16
Camerun,13100,27,40,Animis,58,55,54,2.9,77,993,4,2217,41,12,2.996949248,3.416666667,5.7,4.117271296,13
Canada,29100,2.8,77,Catol,81,74,97,0.7,6.8,19904,1,3482,14,8,4.298940363,1.75,1.8,4.463892989,5
Chile,14000,18,85,Catol,78,71,93,1.7,14.6,2591,6,2581,23,6,3.413467413,3.833333333,2.5,4.146128036,7
China,1205200,124,26,Taoist,69,67,78,1.1,52,377,3,2639,21,7,2.57634135,3,1.84,6.081059123,10
Colombia,35600,31,70,CatÛli,75,69,87,2,28,1538,6,2598,24,6,3.186956335,4,2.47,4.551449998,4
Corea del Norte,23100,189,60,Budist,73,67,99,1.83,27.7,1000,3,-10,24,5.5,3,4.363636364,2.4,4.36361198,18
Corea del Sur,45000,447,72,Protes,74,68,96,1,21.7,6627,3,-10,16,6,3.821316971,2.666666667,1.65,4.653212514,21
Costa Rica,3300,64,47,Catol,79,76,93,2.3,11,2031,6,2808,26,4,3.307709923,6.5,3.1,3.51851394,6
Croacia,4900,85,51,Catol,77,70,97,-0.1,8.7,5487,2,-10,11,11,3.73933496,1,1.65,3.69019608,32
Cuba,11100,99,74,CatÛli,78,74,94,0.95,10.2,1382,6,-10,17,7,3.140508043,2.428571429,1.9,4.045322979,23
Dinamarca,5200,120,85,Protes,79,73,99,0.1,6.6,18277,1,3628,12,12,4.261904912,1,1.7,3.716003344,61
Ecuador,10700,39,56,Catol,73,67,88,2.01,39,1085,6,2531,26,6,3.035429738,4.333333333,3.08,4.029383778,6
Egipto,60000,57,44,Musulm,63,60,48,1.95,76.4,748,5,3336,29,9,2.873901598,3.222222222,3.77,4.77815125,3
El Salvador,5800,246,44,Catol,69,64,73,2.04,41,1078,6,2317,33,7,3.032618761,4.714285714,3.78,3.763427994,27
Emiratos Arabes,2800,32,81,Musulm,74,70,68,4.8,22,14193,5,-10,28,3,4.152074203,9.333333333,4.5,3.447158031,0
EspaÒa,39200,77,78,Catol,81,74,95,0.25,6.9,13047,1,3572,11,9,4.115510662,1.222222222,1.4,4.593286067,31
